origin,sector,destination,value
CHN,prim,CHN,1729392.731355
CHN,prim,USA,9272.120637
CHN,prim,ROW,160332.854008
CHN,manu,CHN,1289588.6650430001
CHN,manu,USA,573483.98941
CHN,manu,ROW,2850512.471547
USA,prim,CHN,59915.246552
USA,prim,USA,133476.62392199982
USA,prim,ROW,576218.453526
USA,manu,CHN,93921.775863
USA,manu,USA,1406740.4143470002
USA,manu,ROW,1332034.35679
ROW,prim,CHN,1029760.6242449998
ROW,prim,USA,588402.9229860001
ROW,prim,ROW,3901901.549769
ROW,manu,CHN,1532399.870601
ROW,manu,USA,2201743.1327420003
ROW,manu,ROW,4827878.103657001
