origin,sector,destination,rate
CHN,AGF,CHN,0.0
CHN,AGF,USA,0.040898026106550814
CHN,AGF,JPN,0.04172492053580716
CHN,AGF,KOR,0.07566039191097008
CHN,AGF,EU27,0.027721757671348556
CHN,AGF,VNM,0.1745542922650843
CHN,AGF,THA,0.012185184098095988
CHN,AGF,MYS,0.0036786540009407604
CHN,AGF,IDN,0.01712955963345758
CHN,AGF,SGP,0.0
CHN,AGF,PHL,0.11393042273409033
CHN,AGF,IND,0.10365353595600978
CHN,AGF,MEX,0.02882159851946394
CHN,AGF,ROW,0.016928484784141655
CHN,MIN,CHN,0.0
CHN,MIN,USA,0.040898026106550814
CHN,MIN,JPN,0.0008851118953748322
CHN,MIN,KOR,0.004240290658410135
CHN,MIN,EU27,0.0005946418824843235
CHN,MIN,VNM,0.0472222221011207
CHN,MIN,THA,0.012185184098095988
CHN,MIN,MYS,0.0036786540009407604
CHN,MIN,IDN,0.01712955963345758
CHN,MIN,SGP,0.0
CHN,MIN,PHL,0.11393042273409033
CHN,MIN,IND,0.018702745673827653
CHN,MIN,MEX,0.0002707905320719623
CHN,MIN,ROW,0.016928484784141655
CHN,ENR,CHN,0.0
CHN,ENR,USA,0.040898026106550814
CHN,ENR,JPN,0.00482172584327186
CHN,ENR,KOR,0.007123847566895088
CHN,ENR,EU27,0.0032833278946609646
CHN,ENR,VNM,0.0305552686344493
CHN,ENR,THA,0.012185184098095988
CHN,ENR,MYS,0.0036786540009407604
CHN,ENR,IDN,0.01712955963345758
CHN,ENR,SGP,0.0
CHN,ENR,PHL,0.11393042273409033
CHN,ENR,IND,0.013236095183944373
CHN,ENR,MEX,0.00015273928771826421
CHN,ENR,ROW,0.016928484784141655
CHN,CHM,CHN,0.0
CHN,CHM,USA,0.040898026106550814
CHN,CHM,JPN,0.012252337264338694
CHN,CHM,KOR,0.011113236374461995
CHN,CHM,EU27,0.018030397508068688
CHN,CHM,VNM,0.0350907374042654
CHN,CHM,THA,0.012185184098095988
CHN,CHM,MYS,0.0036786540009407604
CHN,CHM,IDN,0.01712955963345758
CHN,CHM,SGP,0.0
CHN,CHM,PHL,0.11393042273409033
CHN,CHM,IND,0.02593048207095801
CHN,CHM,MEX,0.0049807846759201855
CHN,CHM,ROW,0.016928484784141655
CHN,TXL,CHN,0.0
CHN,TXL,USA,0.040898026106550814
CHN,TXL,JPN,0.042426455073757814
CHN,TXL,KOR,0.016984696700846534
CHN,TXL,EU27,0.03004793000479777
CHN,TXL,VNM,0.1254184625742874
CHN,TXL,THA,0.012185184098095988
CHN,TXL,MYS,0.0036786540009407604
CHN,TXL,IDN,0.01712955963345758
CHN,TXL,SGP,0.0
CHN,TXL,PHL,0.11393042273409033
CHN,TXL,IND,0.031261581482034666
CHN,TXL,MEX,0.02494455199064018
CHN,TXL,ROW,0.016928484784141655
CHN,WDP,CHN,0.0
CHN,WDP,USA,0.040898026106550814
CHN,WDP,JPN,0.00749976263787135
CHN,WDP,KOR,0.0053005824975231215
CHN,WDP,EU27,0.004273849656741792
CHN,WDP,VNM,0.0909447102510292
CHN,WDP,THA,0.012185184098095988
CHN,WDP,MYS,0.0036786540009407604
CHN,WDP,IDN,0.01712955963345758
CHN,WDP,SGP,0.0
CHN,WDP,PHL,0.11393042273409033
CHN,WDP,IND,0.026840364720260728
CHN,WDP,MEX,0.00849682809817564
CHN,WDP,ROW,0.016928484784141655
CHN,NMM,CHN,0.0
CHN,NMM,USA,0.040898026106550814
CHN,NMM,JPN,0.006427369125345456
CHN,NMM,KOR,0.008869935046720213
CHN,NMM,EU27,0.009371374077791123
CHN,NMM,VNM,0.0943693142383309
CHN,NMM,THA,0.012185184098095988
CHN,NMM,MYS,0.0036786540009407604
CHN,NMM,IDN,0.01712955963345758
CHN,NMM,SGP,0.0
CHN,NMM,PHL,0.11393042273409033
CHN,NMM,IND,0.028439854882735656
CHN,NMM,MEX,0.01075302369904675
CHN,NMM,ROW,0.016928484784141655
CHN,MAC,CHN,0.0
CHN,MAC,USA,0.040898026106550814
CHN,MAC,JPN,0.0
CHN,MAC,KOR,0.010485292261200773
CHN,MAC,EU27,0.007332140639455594
CHN,MAC,VNM,0.0300784507763478
CHN,MAC,THA,0.012185184098095988
CHN,MAC,MYS,0.0036786540009407604
CHN,MAC,IDN,0.01712955963345758
CHN,MAC,SGP,0.0
CHN,MAC,PHL,0.11393042273409033
CHN,MAC,IND,0.023514691571827805
CHN,MAC,MEX,0.006056911469920684
CHN,MAC,ROW,0.016928484784141655
CHN,ELE,CHN,0.0
CHN,ELE,USA,0.040898026106550814
CHN,ELE,JPN,0.00044592123530671763
CHN,ELE,KOR,0.008512251599626392
CHN,ELE,EU27,0.007917424029610027
CHN,ELE,VNM,0.0782373195526734
CHN,ELE,THA,0.012185184098095988
CHN,ELE,MYS,0.0036786540009407604
CHN,ELE,IDN,0.01712955963345758
CHN,ELE,SGP,0.0
CHN,ELE,PHL,0.11393042273409033
CHN,ELE,IND,0.03078463983312222
CHN,ELE,MEX,0.007370983300649043
CHN,ELE,ROW,0.016928484784141655
CHN,VEH,CHN,0.0
CHN,VEH,USA,0.040898026106550814
CHN,VEH,JPN,0.0003047826977477069
CHN,VEH,KOR,0.010012119280671087
CHN,VEH,EU27,0.020927817531410344
CHN,VEH,VNM,0.1523679882746476
CHN,VEH,THA,0.012185184098095988
CHN,VEH,MYS,0.0036786540009407604
CHN,VEH,IDN,0.01712955963345758
CHN,VEH,SGP,0.0
CHN,VEH,PHL,0.11393042273409033
CHN,VEH,IND,0.08301818057928781
CHN,VEH,MEX,0.018698105386152315
CHN,VEH,ROW,0.016928484784141655
CHN,OTM,CHN,0.0
CHN,OTM,USA,0.040898026106550814
CHN,OTM,JPN,0.005707822263566911
CHN,OTM,KOR,0.00875001724558929
CHN,OTM,EU27,0.00808104707164603
CHN,OTM,VNM,0.0971586757555399
CHN,OTM,THA,0.012185184098095988
CHN,OTM,MYS,0.0036786540009407604
CHN,OTM,IDN,0.01712955963345758
CHN,OTM,SGP,0.0
CHN,OTM,PHL,0.11393042273409033
CHN,OTM,IND,0.037889771285152585
CHN,OTM,MEX,0.010637886871349374
CHN,OTM,ROW,0.016928484784141655
CHN,SRV,CHN,0.0
CHN,SRV,USA,0.0
CHN,SRV,JPN,0.0
CHN,SRV,KOR,0.0
CHN,SRV,EU27,0.0
CHN,SRV,VNM,0.0
CHN,SRV,THA,0.0
CHN,SRV,MYS,0.0
CHN,SRV,IDN,0.0
CHN,SRV,SGP,0.0
CHN,SRV,PHL,0.0
CHN,SRV,IND,0.0
CHN,SRV,MEX,0.0
CHN,SRV,ROW,0.0
USA,AGF,CHN,0.04019252312128344
USA,AGF,USA,0.0
USA,AGF,JPN,0.04172492053580716
USA,AGF,KOR,0.07566039191097008
USA,AGF,EU27,0.027721757671348556
USA,AGF,VNM,0.1745542922650843
USA,AGF,THA,0.012185184098095988
USA,AGF,MYS,0.0036786540009407604
USA,AGF,IDN,0.01712955963345758
USA,AGF,SGP,0.0
USA,AGF,PHL,0.11393042273409033
USA,AGF,IND,0.10365353595600978
USA,AGF,MEX,0.02882159851946394
USA,AGF,ROW,0.016928484784141655
USA,MIN,CHN,0.009892953230258485
USA,MIN,USA,0.0
