origin,sector,destination,value
CHN,AGF,CHN,4857949.319
CHN,AGF,USA,7279.023210107166
CHN,AGF,JPN,9786.69203613816
CHN,AGF,KOR,5347.929266934569
CHN,AGF,EU27,1.0
CHN,AGF,VNM,5392.491660356355
CHN,AGF,THA,4552.149158154974
CHN,AGF,MYS,4770.265154134315
CHN,AGF,IDN,2592.8167824345533
CHN,AGF,SGP,1334.267930926155
CHN,AGF,PHL,2525.47428292775
CHN,AGF,IND,571.3393372420556
CHN,AGF,MEX,1095.2711606602172
CHN,AGF,ROW,41526.69001998371
CHN,MIN,CHN,885257.522
CHN,MIN,USA,1510.9495227874322
CHN,MIN,JPN,1731.8287160417397
CHN,MIN,KOR,1621.6481424713613
CHN,MIN,EU27,1.0
CHN,MIN,VNM,580.239685672193
CHN,MIN,THA,506.33930566717214
CHN,MIN,MYS,546.0233115492036
CHN,MIN,IDN,663.0207647834068
CHN,MIN,SGP,178.83142873823692
CHN,MIN,PHL,157.50137861230013
CHN,MIN,IND,797.4102323156126
CHN,MIN,MEX,63.70118517419445
CHN,MIN,ROW,5003.491326187148
CHN,ENR,CHN,1115317.397
CHN,ENR,USA,575.006425376606
CHN,ENR,JPN,1397.179958670196
CHN,ENR,KOR,1665.100051711906
CHN,ENR,EU27,1.0
CHN,ENR,VNM,1466.4353343976675
CHN,ENR,THA,534.9729569205962
CHN,ENR,MYS,2099.3328826266224
CHN,ENR,IDN,1287.050550979603
CHN,ENR,SGP,7709.8511840428455
CHN,ENR,PHL,2186.818968201547
CHN,ENR,IND,962.7000687638332
CHN,ENR,MEX,494.9835837718077
CHN,ENR,ROW,30112.636034536776
CHN,CHM,CHN,2562021.8310000002
CHN,CHM,USA,31949.698759147675
CHN,CHM,JPN,16288.164502466025
CHN,CHM,KOR,26503.50790680143
CHN,CHM,EU27,1.0
CHN,CHM,VNM,14564.997712346685
CHN,CHM,THA,9988.935117512568
CHN,CHM,MYS,8482.77894740245
CHN,CHM,IDN,8917.855175761866
CHN,CHM,SGP,5051.651693696522
CHN,CHM,PHL,4653.678475433631
CHN,CHM,IND,23597.903831533546
