region,sector,C0,G0,I0
CHN,AGF,1655887.818,11.768999999999998,46147.734
CHN,MIN,2452.597,2.355,33.608000000000004
CHN,ENR,28089.062,5.514,525.068
CHN,CHM,156016.933,77.16399999999999,1384.239
CHN,TXL,294903.599,1.71,1134.8799999999999
CHN,WDP,43357.444,10.845,9210.464
CHN,NMM,17195.835,28.584,199903.49000000002
CHN,MAC,4514.032,29.171,716642.173
CHN,ELE,183807.07800000004,81.62200000000001,508270.67
CHN,VEH,239789.776,75.16399999999999,538367.804
CHN,OTM,69446.937,4461.205,112451.399
CHN,SRV,3546676.444,2858467.772,5410991.934
USA,AGF,1211290.647,4.220000000000001,1871.5099999999998
USA,MIN,1227.819,0.507,60313.721999999994
USA,ENR,241416.13600000003,3.045,25604.073000000004
USA,CHM,559532.125,31.099,49290.492000000006
USA,TXL,189852.559,2.505,4875.870999999999
USA,WDP,76551.756,22.618,27606.834000000003
USA,NMM,98775.436,25.293,68968.247
USA,MAC,29007.579999999998,7.723000000000001,316435.406
USA,ELE,242027.46399999998,46.278,430233.865
USA,VEH,359832.434,2.6399999999999997,622309.0650000001
USA,OTM,200088.852,1595.312,93538.473
USA,SRV,13566244.605999999,3568430.0100000002,4003046.686
JPN,AGF,280239.834,7.1499999999999995,1259.448
JPN,MIN,141.199,155.791,1551.835
JPN,ENR,62025.356,6.304,170.532
JPN,CHM,60872.289,151.111,497.10499999999996
JPN,TXL,46064.444,0.96,1325.628
JPN,WDP,4827.642,2.653,189.836
JPN,NMM,8978.158,26.908,3446.636
JPN,MAC,2264.889,17.816,135056.297
JPN,ELE,102835.55599999998,37.194,75129.089
JPN,VEH,76167.197,22.247000000000003,44243.308000000005
JPN,OTM,60960.871,2759.9489999999996,27163.682999999997
JPN,SRV,1538665.552,902956.4500000001,777474.0430000001
KOR,AGF,92550.67299999998,2.961,918.0269999999999
KOR,MIN,63.99,2.0709999999999997,80.00999999999999
KOR,ENR,5426.481,0.827,326.975
KOR,CHM,14962.796,9.803,1603.837
KOR,TXL,32696.22,0.056,1238.432
KOR,WDP,2154.8959999999997,0.8059999999999999,259.95099999999996
KOR,NMM,2833.8759999999997,168.246,12536.653999999999
KOR,MAC,3224.0789999999997,46.717999999999996,73237.50200000001
KOR,ELE,36614.64,123.07600000000001,74063.212
KOR,VEH,39815.12,7.395999999999999,59534.371
KOR,OTM,11815.88,17.311999999999998,5760.137000000001
KOR,SRV,593845.8620000001,313447.366,352207.29
EU27,AGF,1114507.829,10012.733,17342.515
EU27,MIN,6283.249000000001,438.293,8257.051
EU27,ENR,143699.80900000004,1258.1340000000002,5000.854000000001
EU27,CHM,229674.09999999998,71045.158,30886.273000000005
EU27,TXL,210525.42500000002,311.69500000000005,4135.359
EU27,WDP,68641.15800000001,876.8050000000001,16291.586999999998
EU27,NMM,72212.20799999998,1536.0569999999998,129742.72200000001
EU27,MAC,31663.409000000007,1389.3980000000001,313549.12299999996
EU27,ELE,167171.05,3297.340000000001,224878.33000000002
