origin,sector,destination,value
CHN,SRV,CHN,0.0
CHN,SRV,USA,37040.619177
CHN,SRV,JPN,14619.800601
CHN,SRV,KOR,17592.486979
CHN,SRV,EU27,57941.27412399999
CHN,SRV,VNM,4067.150804
CHN,SRV,THA,4982.369657
CHN,SRV,MYS,3267.880746
CHN,SRV,IDN,3519.191806
CHN,SRV,SGP,23402.075904
CHN,SRV,PHL,1880.270727
CHN,SRV,IND,6444.172405
CHN,SRV,MEX,2163.271156
CHN,SRV,ROW,154781.98391600006
USA,SRV,CHN,60620.961575
USA,SRV,USA,0.0
USA,SRV,JPN,53445.092557
USA,SRV,KOR,26488.789066
USA,SRV,EU27,357474.86548100004
USA,SRV,VNM,3148.641698
USA,SRV,THA,5377.2372
USA,SRV,MYS,8271.825198
USA,SRV,IDN,3747.164179
USA,SRV,SGP,52149.129731
USA,SRV,PHL,4265.650856
USA,SRV,IND,36344.587086
USA,SRV,MEX,35180.309123
USA,SRV,ROW,448355.99736299994
JPN,SRV,CHN,19258.966354
JPN,SRV,USA,42582.100471
JPN,SRV,JPN,0.0
JPN,SRV,KOR,5159.338529
JPN,SRV,EU27,20438.867797999996
JPN,SRV,VNM,2233.961582
JPN,SRV,THA,5398.542686
JPN,SRV,MYS,1333.966114
JPN,SRV,IDN,2611.040459
JPN,SRV,SGP,13815.434859
JPN,SRV,PHL,1339.495271
JPN,SRV,IND,3329.12385
JPN,SRV,MEX,1461.605087
JPN,SRV,ROW,47605.68075799999
KOR,SRV,CHN,17410.825358
KOR,SRV,USA,21024.621327
KOR,SRV,JPN,6596.382474
KOR,SRV,KOR,0.0
KOR,SRV,EU27,14974.570400999997
KOR,SRV,VNM,1484.990638
KOR,SRV,THA,1225.317373
KOR,SRV,MYS,1219.012384
KOR,SRV,IDN,973.750634
KOR,SRV,SGP,5803.965697
KOR,SRV,PHL,935.889115
KOR,SRV,IND,3969.329628
KOR,SRV,MEX,552.878142
KOR,SRV,ROW,29786.456803999987
EU27,SRV,CHN,76087.74315600001
EU27,SRV,USA,252598.795757
EU27,SRV,JPN,39566.017291000004
EU27,SRV,KOR,23285.335969
EU27,SRV,EU27,0.0
EU27,SRV,VNM,5957.681057
EU27,SRV,THA,10493.515930000001
EU27,SRV,MYS,5587.813969999999
EU27,SRV,IDN,6501.113466999998
EU27,SRV,SGP,50370.214358000005
EU27,SRV,PHL,4012.690793
EU27,SRV,IND,33597.393304000005
EU27,SRV,MEX,21706.579826
EU27,SRV,ROW,756589.3193129998
VNM,SRV,CHN,2552.024425
VNM,SRV,USA,1364.532228
VNM,SRV,JPN,1666.539697
VNM,SRV,KOR,728.420299
VNM,SRV,EU27,2665.972391
VNM,SRV,VNM,0.0
VNM,SRV,THA,414.710454
VNM,SRV,MYS,1037.511568
VNM,SRV,IDN,206.664166
VNM,SRV,SGP,1222.784353
VNM,SRV,PHL,114.103338
VNM,SRV,IND,676.536923
VNM,SRV,MEX,49.637675
VNM,SRV,ROW,5397.534837000001
THA,SRV,CHN,4507.1846
THA,SRV,USA,3327.801585
THA,SRV,JPN,2195.945356
THA,SRV,KOR,1051.066772
THA,SRV,EU27,5655.76659
THA,SRV,VNM,652.598508
THA,SRV,THA,0.0
THA,SRV,MYS,1136.603504
THA,SRV,IDN,761.840411
THA,SRV,SGP,3035.848094
THA,SRV,PHL,411.122818
THA,SRV,IND,1764.261977
THA,SRV,MEX,151.161534
THA,SRV,ROW,13111.600765000007
MYS,SRV,CHN,2123.359766
MYS,SRV,USA,4675.467711
MYS,SRV,JPN,867.841949
MYS,SRV,KOR,550.92
MYS,SRV,EU27,4547.257042
MYS,SRV,VNM,250.731674
MYS,SRV,THA,808.807743
MYS,SRV,MYS,0.0
MYS,SRV,IDN,1129.700593
MYS,SRV,SGP,6054.667263
MYS,SRV,PHL,211.844056
MYS,SRV,IND,839.846681
MYS,SRV,MEX,109.945952
MYS,SRV,ROW,7919.515717999999
IDN,SRV,CHN,2443.928689
IDN,SRV,USA,1666.233421
IDN,SRV,JPN,1351.335237
IDN,SRV,KOR,729.276835
IDN,SRV,EU27,2921.285126
IDN,SRV,VNM,268.847245
IDN,SRV,THA,520.674518
IDN,SRV,MYS,702.730791
IDN,SRV,IDN,0.0
IDN,SRV,SGP,2546.684435
IDN,SRV,PHL,229.547935
IDN,SRV,IND,1252.150687
IDN,SRV,MEX,63.81193
IDN,SRV,ROW,7528.694342999999
SGP,SRV,CHN,23109.058036
SGP,SRV,USA,27890.696172
SGP,SRV,JPN,28452.344278
SGP,SRV,KOR,5837.221766
SGP,SRV,EU27,49712.54452499999
SGP,SRV,VNM,3691.828684
SGP,SRV,THA,5588.962742
SGP,SRV,MYS,7417.308648
SGP,SRV,IDN,6384.401364
SGP,SRV,SGP,0.0
SGP,SRV,PHL,2969.180536
SGP,SRV,IND,10024.76083
SGP,SRV,MEX,1337.250221
SGP,SRV,ROW,98642.61761700001
PHL,SRV,CHN,3074.334742
PHL,SRV,USA,8402.878387
PHL,SRV,JPN,1992.833631
PHL,SRV,KOR,1241.150485
PHL,SRV,EU27,5198.3646659999995
PHL,SRV,VNM,305.960417
PHL,SRV,THA,625.286041
PHL,SRV,MYS,287.995187
PHL,SRV,IDN,300.126788
PHL,SRV,SGP,2132.345928
PHL,SRV,PHL,0.0
PHL,SRV,IND,772.779353
PHL,SRV,MEX,112.434549
PHL,SRV,ROW,10057.985364
IND,SRV,CHN,6369.282149
IND,SRV,USA,41941.640751
IND,SRV,JPN,3443.011514
IND,SRV,KOR,4625.545052
IND,SRV,EU27,41685.87667399999
IND,SRV,VNM,1375.052017
IND,SRV,THA,2414.489874
IND,SRV,MYS,1314.085994
IND,SRV,IDN,2023.138395
IND,SRV,SGP,10617.4732
IND,SRV,PHL,965.325306
IND,SRV,IND,0.0
IND,SRV,MEX,764.650032
IND,SRV,ROW,86517.30831800001
MEX,SRV,CHN,1094.765332
MEX,SRV,USA,50973.722458
MEX,SRV,JPN,238.445516
MEX,SRV,KOR,483.754848
MEX,SRV,EU27,11809.656076000001
MEX,SRV,VNM,52.328585
MEX,SRV,THA,115.272989
MEX,SRV,MYS,65.399703
MEX,SRV,IDN,59.642628
MEX,SRV,SGP,1586.655413
MEX,SRV,PHL,26.964275
MEX,SRV,IND,446.095526
MEX,SRV,MEX,0.0
MEX,SRV,ROW,11801.123999000003
ROW,SRV,CHN,154820.91195499993
ROW,SRV,USA,418183.0538149998
ROW,SRV,JPN,50660.64258799999
ROW,SRV,KOR,32056.426097999996
ROW,SRV,EU27,581304.9728769984
ROW,SRV,VNM,7628.978081000008
ROW,SRV,THA,13942.625403999999
ROW,SRV,MYS,10827.157014
ROW,SRV,IDN,9967.325056000001
ROW,SRV,SGP,70771.111355
ROW,SRV,PHL,6946.780029000001
ROW,SRV,IND,67809.493881
ROW,SRV,MEX,8276.845963999986
ROW,SRV,ROW,1964095.6458950017
