region,model_T0_mUSD,g1151_mUSD,factor
CHN,123530.66769925019,43242.40802142375,0.35005402971432514
USA,39096.208968431274,102332.7,2.6174583853546984
JPN,12287.788744305573,7668.549506456699,0.6240788856343636
KOR,42264.8811515898,7596.141667142513,0.17972703247165722
EU27,85229.87170492508,35100.0,0.41182744145761413
VNM,26006.90019925802,,1.0
THA,8892.501648542504,2856.3343104658343,0.32120705998789356
MYS,6841.501082387079,725.2771252958954,0.10601140255068671
IDN,3728.599937750055,3389.1208338416877,0.9089526606297111
SGP,0.0,0.0,1.0
PHL,2440.2116568058386,15830.672754894158,6.487417888830191
IND,56473.35309262083,17129.903012072344,0.30332718129872555
MEX,23041.872452472235,4764.725051931824,0.2067854972185909
ROW,373437.6395419452,121940.46690048365,0.2611754251764839
