input,region,output,value
AGF,CHN,AGF,0.4735885231913509
MIN,CHN,AGF,0.00040682656678541244
ENR,CHN,AGF,0.0059917753442514906
CHM,CHN,AGF,0.02156053524701064
TXL,CHN,AGF,0.0018625841506391798
WDP,CHN,AGF,0.003629234511836376
NMM,CHN,AGF,0.0037077114448280627
MAC,CHN,AGF,0.0012890874721759123
ELE,CHN,AGF,0.0004627415306484658
VEH,CHN,AGF,0.0003724369802549751
OTM,CHN,AGF,0.0004904818747694814
SRV,CHN,AGF,0.09269807238621527
AGF,CHN,MIN,0.004987869362934969
MIN,CHN,MIN,0.11852238839543576
ENR,CHN,MIN,0.05194169154176072
CHM,CHN,MIN,0.042982700827961524
TXL,CHN,MIN,0.008684687280351076
WDP,CHN,MIN,0.003673093890807682
NMM,CHN,MIN,0.032144507004578576
MAC,CHN,MIN,0.043314579988249814
ELE,CHN,MIN,0.007547082315480511
VEH,CHN,MIN,0.0026341333997117514
OTM,CHN,MIN,0.003327763802755903
SRV,CHN,MIN,0.2836836272485112
AGF,CHN,ENR,0.001375592489505003
MIN,CHN,ENR,0.033269440347060544
ENR,CHN,ENR,0.44760196398847346
CHM,CHN,ENR,0.0226790533671843
TXL,CHN,ENR,0.001771168872413646
WDP,CHN,ENR,0.001062891232990133
NMM,CHN,ENR,0.011055538388915091
MAC,CHN,ENR,0.011219131822310477
ELE,CHN,ENR,0.00206142289457509
VEH,CHN,ENR,0.0006891367191450072
OTM,CHN,ENR,0.0013799269884563633
SRV,CHN,ENR,0.143069106499657
AGF,CHN,CHM,0.042307630287658396
MIN,CHN,CHM,0.008624665668464973
ENR,CHN,CHM,0.050102801592927106
CHM,CHN,CHM,0.41767944187562667
TXL,CHN,CHM,0.013393482863913852
WDP,CHN,CHM,0.01103908658393491
NMM,CHN,CHM,0.020676660603647586
MAC,CHN,CHM,0.004168636876820795
ELE,CHN,CHM,0.003357998915846631
VEH,CHN,CHM,0.0006182844029533069
OTM,CHN,CHM,0.0013411526475865967
SRV,CHN,CHM,0.1810336605105788
AGF,CHN,TXL,0.05624784338705856
MIN,CHN,TXL,0.0005351730368662156
ENR,CHN,TXL,0.0020541707885150078
CHM,CHN,TXL,0.04863234581532435
TXL,CHN,TXL,0.49831728535837805
WDP,CHN,TXL,0.004496206876192002
NMM,CHN,TXL,0.0030213998240779766
MAC,CHN,TXL,0.001434689998839351
ELE,CHN,TXL,0.0005830342237496006
VEH,CHN,TXL,7.70475423809886e-05
OTM,CHN,TXL,0.0012899322917995064
SRV,CHN,TXL,0.12663490704390934
AGF,CHN,WDP,0.11579778355075222
MIN,CHN,WDP,0.0021674507457110645
ENR,CHN,WDP,0.010628330004086485
CHM,CHN,WDP,0.07816147048522377
TXL,CHN,WDP,0.019606886645992447
WDP,CHN,WDP,0.3020458015867858
NMM,CHN,WDP,0.012648125790892192
MAC,CHN,WDP,0.005846513384009355
ELE,CHN,WDP,0.002949363503708358
VEH,CHN,WDP,0.00043001670696107873
OTM,CHN,WDP,0.001724956688719862
SRV,CHN,WDP,0.17966625307165415
AGF,CHN,NMM,0.0019475502775081555
MIN,CHN,NMM,0.13012771259149122
ENR,CHN,NMM,0.02328290777143811
CHM,CHN,NMM,0.03194621277592225
TXL,CHN,NMM,0.006176829678135981
WDP,CHN,NMM,0.007945449957575058
NMM,CHN,NMM,0.35398369909250044
MAC,CHN,NMM,0.011752461674909294
ELE,CHN,NMM,0.00576803414125085
VEH,CHN,NMM,0.0015871711992488378
OTM,CHN,NMM,0.001553462770349744
SRV,CHN,NMM,0.16910982727454418
AGF,CHN,MAC,0.0028574623752106536
MIN,CHN,MAC,0.0010328051733858614
ENR,CHN,MAC,0.004175024649318004
CHM,CHN,MAC,0.03700765501477215
TXL,CHN,MAC,0.0068724172491172264
WDP,CHN,MAC,0.006590967397083569
NMM,CHN,MAC,0.23283298362052599
MAC,CHN,MAC,0.19527546387859532
ELE,CHN,MAC,0.07815876683018563
VEH,CHN,MAC,0.008883217796860592
OTM,CHN,MAC,0.0021732462600133214
SRV,CHN,MAC,0.15349589554997065
AGF,CHN,ELE,0.0016177748429305175
MIN,CHN,ELE,0.0006499565603905833
ENR,CHN,ELE,0.00349128542090415
CHM,CHN,ELE,0.04609487787907975
TXL,CHN,ELE,0.004231892018671231
WDP,CHN,ELE,0.007430411328108997
NMM,CHN,ELE,0.10888777309997859
MAC,CHN,ELE,0.01811923433222607
ELE,CHN,ELE,0.4402286392744906
VEH,CHN,ELE,0.0026225920225570656
OTM,CHN,ELE,0.0023117890997631754
SRV,CHN,ELE,0.17259725332672088
AGF,CHN,VEH,0.0010207200948402593
MIN,CHN,VEH,0.0004533402823678716
ENR,CHN,VEH,0.004601175666160022
CHM,CHN,VEH,0.051716703999937254
TXL,CHN,VEH,0.01818517843833877
WDP,CHN,VEH,0.005436879516700686
NMM,CHN,VEH,0.12914499255025316
MAC,CHN,VEH,0.03439100292136998
ELE,CHN,VEH,0.049561819925706165
VEH,CHN,VEH,0.32860171139658817
OTM,CHN,VEH,0.001731437939147788
SRV,CHN,VEH,0.14521747199902968
AGF,CHN,OTM,0.024932261438478456
MIN,CHN,OTM,0.0016826047385675817
ENR,CHN,OTM,0.00908477785082821
CHM,CHN,OTM,0.10334101413766801
TXL,CHN,OTM,0.10691152047061807
WDP,CHN,OTM,0.0870493146200008
NMM,CHN,OTM,0.11189446482384392
MAC,CHN,OTM,0.022265727124924223
ELE,CHN,OTM,0.02976338881072714
VEH,CHN,OTM,0.004286806843861644
OTM,CHN,OTM,0.03991647177808108
SRV,CHN,OTM,0.1782945470631727
AGF,CHN,SRV,0.031243010789934574
MIN,CHN,SRV,0.01703542694845389
ENR,CHN,SRV,0.031409581581104996
CHM,CHN,SRV,0.028089903638025254
TXL,CHN,SRV,0.008449965915074244
WDP,CHN,SRV,0.019200869729470462
NMM,CHN,SRV,0.07133667146235838
MAC,CHN,SRV,0.008507853421191477
ELE,CHN,SRV,0.020505667984511058
VEH,CHN,SRV,0.005544885038349073
OTM,CHN,SRV,0.0029046420091513687
SRV,CHN,SRV,0.26060288768018636
AGF,USA,AGF,0.2429706463998347
MIN,USA,AGF,0.0009820113755587198
ENR,USA,AGF,0.020665515737404903
CHM,USA,AGF,0.05130844956640599
TXL,USA,AGF,0.0005785796176714052
WDP,USA,AGF,0.011516249457627943
NMM,USA,AGF,0.01267392591306335
MAC,USA,AGF,0.002743030516082838
ELE,USA,AGF,0.0017303360453028022
VEH,USA,AGF,0.0005880391069569468
OTM,USA,AGF,0.003705757385308185
SRV,USA,AGF,0.31778228126881525
AGF,USA,MIN,0.0004040891812507457
MIN,USA,MIN,0.02596833264996498
ENR,USA,MIN,0.04254582326336016
CHM,USA,MIN,0.017487566286783714
TXL,USA,MIN,0.00035378481092943336
WDP,USA,MIN,0.0017794452268546537
NMM,USA,MIN,0.015340482197703021
MAC,USA,MIN,0.011096086048720246
ELE,USA,MIN,0.0027244145854048198
VEH,USA,MIN,0.0011710686788443457
OTM,USA,MIN,0.004669057672459928
SRV,USA,MIN,0.22670356667967773
AGF,USA,ENR,0.00023233465071022532
MIN,USA,ENR,0.011720864536243703
ENR,USA,ENR,0.3607010445140269
CHM,USA,ENR,0.012791096816483149
TXL,USA,ENR,0.00021578383667041005
WDP,USA,ENR,0.0007486622144909632
NMM,USA,ENR,0.012431550812304687
MAC,USA,ENR,0.007352589607169754
ELE,USA,ENR,0.0016513077219764704
VEH,USA,ENR,0.0006666404420601504
OTM,USA,ENR,0.0034195848470991814
SRV,USA,ENR,0.22270784316434766
AGF,USA,CHM,0.004463384449629325
MIN,USA,CHM,0.003080628142094969
ENR,USA,CHM,0.04288795816244459
CHM,USA,CHM,0.1931589600902028
TXL,USA,CHM,0.0020943825332019024
WDP,USA,CHM,0.005991355558589606
NMM,USA,CHM,0.0132758359864207
MAC,USA,CHM,0.00228721155130939
ELE,USA,CHM,0.0025541673074107774
VEH,USA,CHM,0.0004938207493992775
OTM,USA,CHM,0.0025285694308386196
SRV,USA,CHM,0.2280535768840299
AGF,USA,TXL,0.02017177741561405
MIN,USA,TXL,0.0008567436436084063
ENR,USA,TXL,0.012820598345776922
CHM,USA,TXL,0.1093186475556484
TXL,USA,TXL,0.12387703794835131
WDP,USA,TXL,0.010028188890271243
NMM,USA,TXL,0.008069808014011725
MAC,USA,TXL,0.002796096461928788
ELE,USA,TXL,0.002080366698257741
VEH,USA,TXL,0.0004329400186100263
OTM,USA,TXL,0.005003885096448354
SRV,USA,TXL,0.3086683690826522
AGF,USA,WDP,0.019945328321611867
MIN,USA,WDP,0.000977710844747239
ENR,USA,WDP,0.01693895692570973
CHM,USA,WDP,0.05935007045275538
TXL,USA,WDP,0.0022886638882113394
WDP,USA,WDP,0.1987659301251616
NMM,USA,WDP,0.01255372508144108
MAC,USA,WDP,0.003593428766221539
ELE,USA,WDP,0.004446977223736698
VEH,USA,WDP,0.00046567707245453814
OTM,USA,WDP,0.003811373208470575
SRV,USA,WDP,0.29067676867288583
AGF,USA,NMM,0.0003328274593415846
MIN,USA,NMM,0.03714940577982477
ENR,USA,NMM,0.024772460416956618
CHM,USA,NMM,0.023552939662705205
TXL,USA,NMM,0.0005648118709793062
WDP,USA,NMM,0.005444003210904713
