region,sector,Y0,labor,capital
CHN,AGF,4944725.729,1443363.4,504561.80076990696
CHN,MIN,898620.507,126605.23,229748.0113937239
CHN,ENR,1165811.465,35615.959,340667.90875256876
CHN,CHM,2898203.123,223252.536,488709.8912834524
CHN,TXL,1918503.578,252949.373,239484.38196166456
CHN,WDP,926601.25,88480.19,160151.9879331871
CHN,NMM,4639782.562,353678.28599999996,828624.985625069
CHN,MAC,1581029.743,177847.429,250048.93370533758
CHN,ELE,3337907.681,275950.28,363981.7673334845
CHN,VEH,1516065.944,100537.378,248063.13395145725
CHN,OTM,472315.952,67221.682,65299.35823722943
CHN,SRV,20795352.361,5513075.98,4784130.238031492
USA,AGF,1789030.6349999998,228954.09999999998,366355.10669909685
USA,MIN,191515.766,58813.784,65624.78819805919
USA,ENR,1595140.689,121874.009,460927.70468516176
USA,CHM,1301896.0,230569.605,419245.9396635534
USA,TXL,72323.331,21515.634,7115.403774166829
USA,WDP,464373.419,98202.57800000001,81131.65165122956
USA,NMM,1003810.926,215675.994,160236.52394622372
USA,MAC,446815.247,109805.846,74031.9607093077
USA,ELE,646395.262,229011.47,196065.46786148075
USA,VEH,1087528.712,162483.133,143679.7146458881
USA,OTM,309942.679,115185.253,57680.40433838524
USA,SRV,36390864.257,12190389.008,9169606.501890847
JPN,AGF,363416.984,72364.439,61555.4957036446
JPN,MIN,8789.846,2508.7169999999996,1156.4282496377136
JPN,ENR,162315.168,2546.127,19803.238289332927
JPN,CHM,377747.11199999996,44531.054000000004,72708.03240695939
JPN,TXL,28665.438,10542.27141589182,1.0
JPN,WDP,114001.891,22507.323,22326.590614393284
JPN,NMM,511939.30399999995,65851.891,87309.6638556816
JPN,MAC,305760.637,74948.857,55335.10868996986
JPN,ELE,313701.327,58200.894,66157.11936416564
JPN,VEH,424660.642,62866.702999999994,50154.7869748611
JPN,OTM,267177.505,80929.564,25885.63705256897
JPN,SRV,5217013.383,1707976.73,1367924.0818764362
KOR,AGF,187024.691,17070.119,29540.99187972537
KOR,MIN,3670.564,560.278,860.0831773969787
KOR,ENR,156437.633,2135.459,16152.931813459789
KOR,CHM,337239.603,34257.747,51440.8803419637
KOR,TXL,66294.57,8490.799,5372.185917353729
KOR,WDP,48368.411,7918.152,7172.151153501474
KOR,NMM,303282.03,33151.981999999996,45067.61206713781
KOR,MAC,149990.606,24421.993,17684.098241351403
KOR,ELE,460519.521,68398.747,94095.49545542276
KOR,VEH,261052.46800000002,27774.163,24900.980577525334
KOR,OTM,28733.736,5493.426,4545.640570145125
KOR,SRV,2306959.333,621128.437,566059.7781378747
EU27,AGF,2014873.2459999993,227850.838,324262.06527680834
EU27,MIN,86376.31300000001,17969.003,29922.513204423474
EU27,ENR,629659.2999999999,18774.941,70327.25214404636
EU27,CHM,1587365.526,195237.02899999998,316523.9344598929
EU27,TXL,226876.13800000006,43550.706,24055.426478658374
EU27,WDP,497481.70700000005,73379.52,64512.189647205945
EU27,NMM,1450756.526,235029.44199999998,163101.5494735968
EU27,MAC,779490.6930000001,168781.612,88682.70515303392
EU27,ELE,733322.949,139478.277,60923.39639425336
EU27,VEH,1308444.9449999998,180997.657,138279.88989460736
EU27,OTM,527628.438,131155.71,72123.12229132486
EU27,SRV,23585801.770000003,6539414.439,5788398.242816226
ROW,AGF,6078796.442,680331.701,1971070.9143662727
ROW,MIN,1414333.7889999999,167052.567,635570.9426918965
ROW,ENR,3211369.0319999987,175807.857,1660612.3493754566
ROW,CHM,2150684.664000001,226738.96,413170.33021473605
ROW,TXL,942174.9829999998,150503.028,146265.7702275472
ROW,WDP,651296.201,93817.622,122093.64618296942
ROW,NMM,2420107.4979999997,266166.698,477039.00970429427
ROW,MAC,579698.213,95503.61,81745.81736576754
ROW,ELE,1799748.7849999995,206069.348,369881.1889614037
ROW,VEH,1291247.8769999999,141062.716,140697.53232491124
ROW,OTM,641264.1689999999,107263.156,120094.6691600794
ROW,SRV,35010564.981,9376292.054,10574952.446620906
