sector,sector_name,sitc2_codes,isic_rev4_codes,note
AGF,农业与食品,"0x;1x;4x;21;22;26;29","A01;A02;A03;C10T12",SITC 2 中的农产品原料（21皮张/22油籽/26纤维/29其他）归入农业
MIN,非能源矿产,"27","B05;B07;B08;B09","仅 SITC 27（原矿肥料/矿物）；28 矿石与废金属移出（见 NMM）"
ENR,能源,"3x","B06;C19",SITC 3 矿物燃料 ↔ 油气开采+石油炼焦
CHM,化工,"5x;23;62","C20;C21;C22",23 天然橡胶、62 橡胶制品归入化工
TXL,纺织皮革,"61;65;83;84;85","C13T15",61 皮革、65 纺织品、83 旅行用品、84 服装、85 鞋靴
WDP,木材纸浆,"24;25;63;64","C16;C17_18",24 木材、25 纸浆、63 木制品、64 纸
NMM,非金属与金属制品,"28;66;67;68;69","C23;C24A;C24B;C25","SITC 28 含废金属贸易（日韩废金属出口超本国采矿业产出），无采矿业产出对应，归入金属制品部门"
MAC,机械设备,"71;72;73;74","C28",
ELE,电子电气,"75;76;77;87;88","C26;C27","87 科学仪器、88 光学/医疗设备归入电子电气（ISIC C26）"
VEH,交通运输设备,"78;79","C29;C301;C302T309",
OTM,其他制造,"81;82;86;89","C31T33",
SRV,服务,无,"D;E;F;G;H49;H50;H51;H52;H53;I;J58T60;J61;J62_63;K;L;M;N;O;P;Q;R;S;T",双边流量来自 BaTIS（services_flows_batis_2022.csv）
—剔除—,SITC 9x 特殊交易,"91;92;93;94;95;96;97",无,"特殊交易/黄金/硬币（2022 年约 1.55 万亿美元）无生产账户对应，整体剔除；产出侧留在国内吸收残差中"
