origin,destination,share
CHN,USA,0.040629319035637136
CHN,JPN,0.07128263844401717
CHN,KOR,0.1468123693752813
CHN,EU27,0.05010785009303033
CHN,ROW,0.047417935357241855
USA,CHN,0.16231670131758913
USA,JPN,0.2605854425324432
USA,KOR,0.22105356049452413
USA,EU27,0.30914572111780053
USA,ROW,0.13838527321951555
JPN,CHN,0.05156717755953406
JPN,USA,0.04670768965757705
JPN,KOR,0.043055579052344084
JPN,EU27,0.017675616202392656
JPN,ROW,0.01834705727982874
KOR,CHN,0.046618655757065044
KOR,USA,0.023061602815445385
KOR,JPN,0.032162377570350106
KOR,EU27,0.012950069535147405
KOR,ROW,0.010654476266840138
EU27,CHN,0.20373004912668924
EU27,USA,0.27707196285750946
EU27,JPN,0.1929144030207341
EU27,KOR,0.19432018619022287
EU27,ROW,0.20747484864005575
ROW,CHN,0.5357674162391225
ROW,USA,0.612529425633831
ROW,JPN,0.4430551384324555
ROW,KOR,0.39475830488762753
ROW,EU27,0.6101207430516291
