origin,sector,destination,rate
CHN,AGF,CHN,0.0
CHN,AGF,USA,0.013633130743794998
CHN,AGF,EU27,0.06731401281379094
CHN,AGF,JPN,0.06685840764087804
CHN,AGF,KOR,0.42097391177313115
CHN,AGF,IND,0.34172188431055495
CHN,AGF,CAN,0.023803787880471702
CHN,AGF,MEX,0.13937920650690952
CHN,AGF,BRA,0.0786256814734459
CHN,AGF,ZAF,0.0447252061932125
CHN,AGF,RUS,0.0416839006627279
CHN,AGF,SAU,0.0566290290823731
CHN,AGF,AUS,0.0131340549378955
CHN,AGF,ROW,0.07440250570151533
CHN,MIN,CHN,0.0
CHN,MIN,USA,0.013633130743794998
CHN,MIN,EU27,0.0014439102950004462
CHN,MIN,JPN,0.0014182692536940961
CHN,MIN,KOR,0.023592948707250448
CHN,MIN,IND,0.06165865384615385
CHN,MIN,CAN,0.023803787880471702
CHN,MIN,MEX,0.0013095238095238097
CHN,MIN,BRA,0.0786256814734459
CHN,MIN,ZAF,0.0447252061932125
CHN,MIN,RUS,0.0416839006627279
CHN,MIN,SAU,0.0566290290823731
CHN,MIN,AUS,0.0131340549378955
CHN,MIN,ROW,0.07440250570151533
CHN,ENR,CHN,0.0
CHN,ENR,USA,0.013633130743794998
CHN,ENR,EU27,0.007972581630403347
CHN,ENR,JPN,0.007726148014718836
CHN,ENR,KOR,0.03963703995401209
CHN,ENR,IND,0.04363636363636363
CHN,ENR,CAN,0.023803787880471702
CHN,ENR,MEX,0.0007386363636363636
CHN,ENR,BRA,0.0786256814734459
CHN,ENR,ZAF,0.0447252061932125
CHN,ENR,RUS,0.0416839006627279
CHN,ENR,SAU,0.0566290290823731
CHN,ENR,AUS,0.0131340549378955
CHN,ENR,ROW,0.07440250570151533
CHN,CHM,CHN,0.0
CHN,CHM,USA,0.013633130743794998
CHN,CHM,EU27,0.04378143778921645
CHN,CHM,JPN,0.019632673923721176
CHN,CHM,KOR,0.061833972450496856
CHN,CHM,IND,0.08548683952402186
CHN,CHM,CAN,0.023803787880471702
CHN,CHM,MEX,0.02408672147184029
CHN,CHM,BRA,0.0786256814734459
CHN,CHM,ZAF,0.0447252061932125
CHN,CHM,RUS,0.0416839006627279
CHN,CHM,SAU,0.0566290290823731
CHN,CHM,AUS,0.0131340549378955
CHN,CHM,ROW,0.07440250570151533
CHN,TXL,CHN,0.0
CHN,TXL,USA,0.013633130743794998
CHN,TXL,EU27,0.07296242790049817
CHN,TXL,JPN,0.06798251959867571
CHN,TXL,KOR,0.09450273822066818
CHN,TXL,IND,0.1030622489820566
CHN,TXL,CAN,0.023803787880471702
CHN,TXL,MEX,0.12063008444093905
CHN,TXL,BRA,0.0786256814734459
CHN,TXL,ZAF,0.0447252061932125
CHN,TXL,RUS,0.0416839006627279
CHN,TXL,SAU,0.0566290290823731
CHN,TXL,AUS,0.0131340549378955
CHN,TXL,ROW,0.07440250570151533
CHN,WDP,CHN,0.0
CHN,WDP,USA,0.013633130743794998
CHN,WDP,EU27,0.010377768032200689
CHN,WDP,JPN,0.012017331158781386
CHN,WDP,KOR,0.0294924053695652
CHN,WDP,IND,0.0884865134912771
CHN,WDP,CAN,0.023803787880471702
CHN,WDP,MEX,0.04109005811560244
CHN,WDP,BRA,0.0786256814734459
CHN,WDP,ZAF,0.0447252061932125
CHN,WDP,RUS,0.0416839006627279
CHN,WDP,SAU,0.0566290290823731
CHN,WDP,AUS,0.0131340549378955
CHN,WDP,ROW,0.07440250570151533
CHN,NMM,CHN,0.0
CHN,NMM,USA,0.013633130743794998
CHN,NMM,EU27,0.02275558434042735
CHN,NMM,JPN,0.010298969045895891
CHN,NMM,KOR,0.049352258949242916
CHN,NMM,IND,0.09375966493001918
CHN,NMM,CAN,0.023803787880471702
CHN,NMM,MEX,0.05200086003942452
CHN,NMM,BRA,0.0786256814734459
CHN,NMM,ZAF,0.0447252061932125
CHN,NMM,RUS,0.0416839006627279
CHN,NMM,SAU,0.0566290290823731
CHN,NMM,AUS,0.0131340549378955
CHN,NMM,ROW,0.07440250570151533
CHN,MAC,CHN,0.0
CHN,MAC,USA,0.013633130743794998
CHN,MAC,EU27,0.017803914701517657
CHN,MAC,JPN,0.0
CHN,MAC,KOR,0.05834009562726358
CHN,MAC,IND,0.0775225334938574
CHN,MAC,CAN,0.023803787880471702
CHN,MAC,MEX,0.029290794332244602
CHN,MAC,BRA,0.0786256814734459
CHN,MAC,ZAF,0.0447252061932125
CHN,MAC,RUS,0.0416839006627279
CHN,MAC,SAU,0.0566290290823731
CHN,MAC,AUS,0.0131340549378955
CHN,MAC,ROW,0.07440250570151533
CHN,ELE,CHN,0.0
CHN,ELE,USA,0.013633130743794998
CHN,ELE,EU27,0.019225100691656827
CHN,ELE,JPN,0.0007145270342762398
CHN,ELE,KOR,0.04736211065505002
CHN,ELE,IND,0.10148988198589634
CHN,ELE,CAN,0.023803787880471702
CHN,ELE,MEX,0.03564555251598358
CHN,ELE,BRA,0.0786256814734459
CHN,ELE,ZAF,0.0447252061932125
CHN,ELE,RUS,0.0416839006627279
CHN,ELE,SAU,0.0566290290823731
CHN,ELE,AUS,0.0131340549378955
CHN,ELE,ROW,0.07440250570151533
CHN,VEH,CHN,0.0
CHN,VEH,USA,0.013633130743794998
CHN,VEH,EU27,0.050816957358011
CHN,VEH,JPN,0.0004883720708447831
CHN,VEH,KOR,0.055707364345705786
CHN,VEH,IND,0.2736918604651163
CHN,VEH,CAN,0.023803787880471702
CHN,VEH,MEX,0.09042271163913754
CHN,VEH,BRA,0.0786256814734459
CHN,VEH,ZAF,0.0447252061932125
CHN,VEH,RUS,0.0416839006627279
CHN,VEH,SAU,0.0566290290823731
CHN,VEH,AUS,0.0131340549378955
CHN,VEH,ROW,0.07440250570151533
CHN,OTM,CHN,0.0
CHN,OTM,USA,0.013633130743794998
CHN,OTM,EU27,0.01962241040335763
CHN,OTM,JPN,0.009145994833273479
CHN,OTM,KOR,0.048685037110203
CHN,OTM,IND,0.12491386733929932
CHN,OTM,CAN,0.023803787880471702
