origin,sector,destination,rate
CHN,AGF,CHN,0.0
CHN,AGF,USA,0.0408894158015213
CHN,AGF,EU27,0.02771840777636722
CHN,AGF,JPN,0.04172342870576145
CHN,AGF,KOR,0.07565666227470713
CHN,AGF,IND,0.10365353595600978
CHN,AGF,CAN,0.010652886987221378
CHN,AGF,MEX,0.02884664690494927
CHN,AGF,BRA,0.047867847882883945
CHN,AGF,ZAF,0.04964408763997521
CHN,AGF,RUS,0.04367451958393232
CHN,AGF,SAU,0.031396862169499384
CHN,AGF,AUS,0.05049327754048086
CHN,AGF,ROW,0.019432106060789024
CHN,MIN,CHN,0.0
CHN,MIN,USA,0.0408894158015213
CHN,MIN,EU27,0.0005945700260067711
CHN,MIN,JPN,0.0008850802491427391
CHN,MIN,KOR,0.004240081635678352
CHN,MIN,IND,0.018702745673827653
CHN,MIN,CAN,0.010652886987221378
CHN,MIN,MEX,0.00027102587174712066
CHN,MIN,BRA,0.047867847882883945
CHN,MIN,ZAF,0.04964408763997521
CHN,MIN,RUS,0.04367451958393232
CHN,MIN,SAU,0.031396862169499384
CHN,MIN,AUS,0.05049327754048086
CHN,MIN,ROW,0.019432106060789024
CHN,ENR,CHN,0.0
CHN,ENR,USA,0.0408894158015213
CHN,ENR,EU27,0.0032829311375805947
CHN,ENR,JPN,0.004821553447605365
CHN,ENR,KOR,0.007123496400855022
CHN,ENR,IND,0.013236095183944373
CHN,ENR,CAN,0.010652886987221378
CHN,ENR,MEX,0.00015287203096478948
CHN,ENR,BRA,0.047867847882883945
CHN,ENR,ZAF,0.04964408763997521
CHN,ENR,RUS,0.04367451958393232
CHN,ENR,SAU,0.031396862169499384
CHN,ENR,AUS,0.05049327754048086
CHN,ENR,ROW,0.019432106060789024
CHN,CHM,CHN,0.0
CHN,CHM,USA,0.0408894158015213
CHN,CHM,EU27,0.0180282187162749
CHN,CHM,JPN,0.012251899195083522
CHN,CHM,KOR,0.011112688553755096
CHN,CHM,IND,0.02593048207095801
CHN,CHM,CAN,0.010652886987221378
CHN,CHM,MEX,0.004985113395387207
CHN,CHM,BRA,0.047867847882883945
CHN,CHM,ZAF,0.04964408763997521
CHN,CHM,RUS,0.04367451958393232
CHN,CHM,SAU,0.031396862169499384
CHN,CHM,AUS,0.05049327754048086
CHN,CHM,ROW,0.019432106060789024
CHN,TXL,CHN,0.0
CHN,TXL,USA,0.0408894158015213
CHN,TXL,EU27,0.030044299015337582
CHN,TXL,JPN,0.04242493816109269
CHN,TXL,KOR,0.016983859449820855
CHN,TXL,IND,0.031261581482034666
CHN,TXL,CAN,0.010652886987221378
CHN,TXL,MEX,0.024966230897644534
CHN,TXL,BRA,0.047867847882883945
CHN,TXL,ZAF,0.04964408763997521
CHN,TXL,RUS,0.04367451958393232
CHN,TXL,SAU,0.031396862169499384
CHN,TXL,AUS,0.05049327754048086
CHN,TXL,ROW,0.019432106060789024
CHN,WDP,CHN,0.0
CHN,WDP,USA,0.0408894158015213
CHN,WDP,EU27,0.00427333320509086
CHN,WDP,JPN,0.007499494491854647
CHN,WDP,KOR,0.005300321208304309
CHN,WDP,IND,0.026840364720260728
CHN,WDP,CAN,0.010652886987221378
CHN,WDP,MEX,0.00850421255415791
CHN,WDP,BRA,0.047867847882883945
CHN,WDP,ZAF,0.04964408763997521
CHN,WDP,RUS,0.04367451958393232
CHN,WDP,SAU,0.031396862169499384
CHN,WDP,AUS,0.05049327754048086
CHN,WDP,ROW,0.019432106060789024
CHN,NMM,CHN,0.0
CHN,NMM,USA,0.0408894158015213
CHN,NMM,EU27,0.009370241641696574
CHN,NMM,JPN,0.006427139321615384
CHN,NMM,KOR,0.008869497808284558
CHN,NMM,IND,0.028439854882735656
CHN,NMM,CAN,0.010652886987221378
CHN,NMM,MEX,0.010762368978163198
CHN,NMM,BRA,0.047867847882883945
CHN,NMM,ZAF,0.04964408763997521
CHN,NMM,RUS,0.04367451958393232
CHN,NMM,SAU,0.031396862169499384
CHN,NMM,AUS,0.05049327754048086
CHN,NMM,ROW,0.019432106060789024
CHN,MAC,CHN,0.0
CHN,MAC,USA,0.0408894158015213
CHN,MAC,EU27,0.007331254624166747
CHN,MAC,JPN,0.0
CHN,MAC,KOR,0.010484775394644081
CHN,MAC,IND,0.023514691571827805
CHN,MAC,CAN,0.010652886987221378
CHN,MAC,MEX,0.006062175433793007
CHN,MAC,BRA,0.047867847882883945
CHN,MAC,ZAF,0.04964408763997521
CHN,MAC,RUS,0.04367451958393232
CHN,MAC,SAU,0.031396862169499384
CHN,MAC,AUS,0.05049327754048086
CHN,MAC,ROW,0.019432106060789024
CHN,ELE,CHN,0.0
CHN,ELE,USA,0.0408894158015213
CHN,ELE,EU27,0.00791646728872309
CHN,ELE,JPN,0.00044590529186840045
CHN,ELE,KOR,0.00851183199299413
CHN,ELE,IND,0.03078463983312222
CHN,ELE,CAN,0.010652886987221378
CHN,ELE,MEX,0.0073773893031126424
CHN,ELE,BRA,0.047867847882883945
CHN,ELE,ZAF,0.04964408763997521
CHN,ELE,RUS,0.04367451958393232
CHN,ELE,SAU,0.031396862169499384
CHN,ELE,AUS,0.05049327754048086
CHN,ELE,ROW,0.019432106060789024
CHN,VEH,CHN,0.0
CHN,VEH,USA,0.0408894158015213
CHN,VEH,EU27,0.020925288615612513
CHN,VEH,JPN,0.00030477180056731504
CHN,VEH,KOR,0.010011625738909076
CHN,VEH,IND,0.08301818057928781
CHN,VEH,CAN,0.010652886987221378
CHN,VEH,MEX,0.018714355607361986
CHN,VEH,BRA,0.047867847882883945
CHN,VEH,ZAF,0.04964408763997521
CHN,VEH,RUS,0.04367451958393232
CHN,VEH,SAU,0.031396862169499384
CHN,VEH,AUS,0.05049327754048086
CHN,VEH,ROW,0.019432106060789024
CHN,OTM,CHN,0.0
CHN,OTM,USA,0.0408894158015213
CHN,OTM,EU27,0.008080070558563772
CHN,OTM,JPN,0.005707618186467684
CHN,OTM,KOR,0.008749585918433875
CHN,OTM,IND,0.037889771285152585
CHN,OTM,CAN,0.010652886987221378
CHN,OTM,MEX,0.010647132086909603
CHN,OTM,BRA,0.047867847882883945
CHN,OTM,ZAF,0.04964408763997521
CHN,OTM,RUS,0.04367451958393232
CHN,OTM,SAU,0.031396862169499384
CHN,OTM,AUS,0.05049327754048086
CHN,OTM,ROW,0.019432106060789024
CHN,SRV,CHN,0.0
CHN,SRV,USA,0.0
CHN,SRV,EU27,0.0
CHN,SRV,JPN,0.0
CHN,SRV,KOR,0.0
CHN,SRV,IND,0.0
CHN,SRV,CAN,0.0
CHN,SRV,MEX,0.0
CHN,SRV,BRA,0.0
CHN,SRV,ZAF,0.0
CHN,SRV,RUS,0.0
CHN,SRV,SAU,0.0
CHN,SRV,AUS,0.0
CHN,SRV,ROW,0.0
USA,AGF,CHN,0.04019203914623782
USA,AGF,USA,0.0
USA,AGF,EU27,0.02771840777636722
USA,AGF,JPN,0.04172342870576145
USA,AGF,KOR,0.07565666227470713
USA,AGF,IND,0.10365353595600978
USA,AGF,CAN,0.010652886987221378
USA,AGF,MEX,0.02884664690494927
USA,AGF,BRA,0.047867847882883945
USA,AGF,ZAF,0.04964408763997521
USA,AGF,RUS,0.04367451958393232
USA,AGF,SAU,0.031396862169499384
USA,AGF,AUS,0.05049327754048086
USA,AGF,ROW,0.019432106060789024
USA,MIN,CHN,0.009892834105055112
USA,MIN,USA,0.0
USA,MIN,EU27,0.0005945700260067711
USA,MIN,JPN,0.0008850802491427391
USA,MIN,KOR,0.004240081635678352
USA,MIN,IND,0.018702745673827653
USA,MIN,CAN,0.010652886987221378
USA,MIN,MEX,0.00027102587174712066
USA,MIN,BRA,0.047867847882883945
USA,MIN,ZAF,0.04964408763997521
USA,MIN,RUS,0.04367451958393232
USA,MIN,SAU,0.031396862169499384
USA,MIN,AUS,0.05049327754048086
USA,MIN,ROW,0.019432106060789024
USA,ENR,CHN,0.017576977711313325
USA,ENR,USA,0.0
USA,ENR,EU27,0.0032829311375805947
USA,ENR,JPN,0.004821553447605365
USA,ENR,KOR,0.007123496400855022
USA,ENR,IND,0.013236095183944373
USA,ENR,CAN,0.010652886987221378
USA,ENR,MEX,0.00015287203096478948
USA,ENR,BRA,0.047867847882883945
USA,ENR,ZAF,0.04964408763997521
USA,ENR,RUS,0.04367451958393232
USA,ENR,SAU,0.031396862169499384
USA,ENR,AUS,0.05049327754048086
USA,ENR,ROW,0.019432106060789024
USA,CHM,CHN,0.022748852125287305
USA,CHM,USA,0.0
USA,CHM,EU27,0.0180282187162749
USA,CHM,JPN,0.012251899195083522
USA,CHM,KOR,0.011112688553755096
USA,CHM,IND,0.02593048207095801
USA,CHM,CAN,0.010652886987221378
USA,CHM,MEX,0.004985113395387207
USA,CHM,BRA,0.047867847882883945
USA,CHM,ZAF,0.04964408763997521
USA,CHM,RUS,0.04367451958393232
USA,CHM,SAU,0.031396862169499384
USA,CHM,AUS,0.05049327754048086
USA,CHM,ROW,0.019432106060789024
USA,TXL,CHN,0.025504773480295423
USA,TXL,USA,0.0
USA,TXL,EU27,0.030044299015337582
USA,TXL,JPN,0.04242493816109269
USA,TXL,KOR,0.016983859449820855
USA,TXL,IND,0.031261581482034666
USA,TXL,CAN,0.010652886987221378
USA,TXL,MEX,0.024966230897644534
USA,TXL,BRA,0.047867847882883945
USA,TXL,ZAF,0.04964408763997521
USA,TXL,RUS,0.04367451958393232
USA,TXL,SAU,0.031396862169499384
USA,TXL,AUS,0.05049327754048086
USA,TXL,ROW,0.019432106060789024
USA,WDP,CHN,0.012466271286851602
USA,WDP,USA,0.0
USA,WDP,EU27,0.00427333320509086
USA,WDP,JPN,0.007499494491854647
