origin,sector,destination,value
CHN,AGF,CHN,4857949.319
CHN,AGF,USA,7279.023210107166
CHN,AGF,EU27,1.0
CHN,AGF,JPN,9786.69203613816
CHN,AGF,KOR,5347.929266934569
CHN,AGF,IND,571.3393372420556
CHN,AGF,CAN,1331.1071679849272
CHN,AGF,MEX,1095.2711606602172
CHN,AGF,BRA,498.3316245481984
CHN,AGF,ZAF,345.6125560413658
CHN,AGF,RUS,1832.6793115362204
CHN,AGF,SAU,310.0660713698193
CHN,AGF,AUS,1114.4417658900907
CHN,AGF,ROW,57261.9164915472
CHN,MIN,CHN,885257.522
CHN,MIN,USA,1510.9495227874322
CHN,MIN,EU27,1.0
CHN,MIN,JPN,1731.8287160417397
CHN,MIN,KOR,1621.6481424713613
CHN,MIN,IND,797.4102323156126
CHN,MIN,CAN,40.38127731864979
CHN,MIN,MEX,63.70118517419445
CHN,MIN,BRA,59.161711976012604
CHN,MIN,ZAF,79.20511508370349
CHN,MIN,RUS,221.2733493542893
CHN,MIN,SAU,151.75082563246167
CHN,MIN,AUS,108.68325390363434
CHN,MIN,ROW,6974.991667940909
CHN,ENR,CHN,1115317.397
CHN,ENR,USA,575.006425376606
CHN,ENR,EU27,1.0
CHN,ENR,JPN,1397.179958670196
CHN,ENR,KOR,1665.100051711906
CHN,ENR,IND,962.7000687638332
CHN,ENR,CAN,102.06308726047472
CHN,ENR,MEX,494.9835837718077
CHN,ENR,BRA,548.263316582149
CHN,ENR,ZAF,529.9267392229438
CHN,ENR,RUS,209.1514069370219
CHN,ENR,SAU,163.5117216058203
CHN,ENR,AUS,1691.3992907186198
CHN,ENR,ROW,42152.782349378635
CHN,CHM,CHN,2562021.8310000002
CHN,CHM,USA,31949.698759147675
CHN,CHM,EU27,1.0
CHN,CHM,JPN,16288.164502466025
CHN,CHM,KOR,26503.50790680143
CHN,CHM,IND,23597.903831533546
CHN,CHM,CAN,4478.555815452333
CHN,CHM,MEX,6432.475209874386
CHN,CHM,BRA,15098.670674713716
CHN,CHM,ZAF,2661.629080311044
CHN,CHM,RUS,10526.423698621507
CHN,CHM,SAU,3010.908687198926
