input,region,output,value
AGF,CHN,AGF,0.4735888016330084
MIN,CHN,AGF,0.00040682727744812623
ENR,CHN,AGF,0.0059917867831716844
CHM,CHN,AGF,0.0215605515970341
TXL,CHN,AGF,0.0018625869904558832
WDP,CHN,AGF,0.0036292447636870106
NMM,CHN,AGF,0.0037077131934848814
MAC,CHN,AGF,0.001289090977221406
ELE,CHN,AGF,0.00046274194383973355
VEH,CHN,AGF,0.0003724383292201343
OTM,CHN,AGF,0.0004904916982511045
SRV,CHN,AGF,0.09269807238621523
AGF,CHN,MIN,0.0049878722955031055
MIN,CHN,MIN,0.11852259543560732
ENR,CHN,MIN,0.05194179070383374
CHM,CHN,MIN,0.04298273342307843
TXL,CHN,MIN,0.00868470052158906
WDP,CHN,MIN,0.003673104266552157
NMM,CHN,MIN,0.03214452216479592
MAC,CHN,MIN,0.04331469776115248
ELE,CHN,MIN,0.007547089054422886
VEH,CHN,MIN,0.002634142940531727
OTM,CHN,MIN,0.0033278304519599694
SRV,CHN,MIN,0.28368362724851104
AGF,CHN,ENR,0.001375593298270913
MIN,CHN,ENR,0.03326949846359642
ENR,CHN,ENR,0.4476028185070177
CHM,CHN,ENR,0.022679070565414787
TXL,CHN,ENR,0.001771171572852682
WDP,CHN,ENR,0.0010628942354420623
NMM,CHN,ENR,0.011055543603005475
MAC,CHN,ENR,0.011219162327274868
ELE,CHN,ENR,0.0020614247352612673
VEH,CHN,ENR,0.0006891392151952743
OTM,CHN,ENR,0.00137995462594535
SRV,CHN,ENR,0.14306910649965696
AGF,CHN,CHM,0.042307655162008434
MIN,CHN,CHM,0.008624680734413978
ENR,CHN,CHM,0.050102897244368616
CHM,CHN,CHM,0.41767975861491885
TXL,CHN,CHM,0.013393503284487247
WDP,CHN,CHM,0.01103911776711319
NMM,CHN,CHM,0.02067667035531896
MAC,CHN,CHM,0.004168648211398327
ELE,CHN,CHM,0.0033580019142717497
VEH,CHN,CHM,0.000618286642376786
OTM,CHN,CHM,0.0013411795084943385
SRV,CHN,CHM,0.1810336605105787
AGF,CHN,TXL,0.05624787645741811
MIN,CHN,TXL,0.0005351739717302432
ENR,CHN,TXL,0.0020541747101399627
CHM,CHN,TXL,0.0486323826947425
TXL,CHN,TXL,0.4983180451252589
WDP,CHN,TXL,0.00449621957706354
NMM,CHN,TXL,0.003021401249051706
MAC,CHN,TXL,0.0014346938997799959
ELE,CHN,TXL,0.000583034744352646
VEH,CHN,TXL,7.704782144685956e-05
OTM,CHN,TXL,0.001289958126854409
SRV,CHN,TXL,0.12663490704390928
AGF,CHN,WDP,0.11579785163290626
MIN,CHN,WDP,0.0021674545319102824
ENR,CHN,WDP,0.010628350294670113
CHM,CHN,WDP,0.07816152975749421
TXL,CHN,WDP,0.019606916539924583
WDP,CHN,WDP,0.30204665480484943
NMM,CHN,WDP,0.012648131756089791
MAC,CHN,WDP,0.005846529280754791
ELE,CHN,WDP,0.0029493661372546566
VEH,CHN,WDP,0.0004300182644797633
OTM,CHN,WDP,0.0017249912365415122
SRV,CHN,WDP,0.17966625307165407
AGF,CHN,NMM,0.0019475514225509528
MIN,CHN,NMM,0.13012793990435848
ENR,CHN,NMM,0.023282952220922373
CHM,CHN,NMM,0.031946237001727516
TXL,CHN,NMM,0.0061768390957314704
WDP,CHN,NMM,0.007945472401857985
NMM,CHN,NMM,0.35398386604076987
MAC,CHN,NMM,0.011752493630004447
ELE,CHN,NMM,0.005768039291645144
VEH,CHN,NMM,0.0015871769479761742
OTM,CHN,NMM,0.0015534938834525142
SRV,CHN,NMM,0.1691098272745441
