region,sector,Y0,labor,capital
CHN,AGF,4944725.729,1443363.4,504560.1350289183
CHN,MIN,898620.507,126605.23,229747.48910739913
CHN,ENR,1165811.465,35615.959,340666.73823326826
CHN,CHM,2898203.123,223252.536,488708.27663713775
CHN,TXL,1918503.578,252949.373,239482.69514682904
CHN,WDP,926601.25,88480.19,160150.97317135747
CHN,NMM,4639782.562,353678.28599999996,828622.3413634956
CHN,MAC,1581029.743,177847.429,250047.5821262186
CHN,ELE,3337907.681,275950.28,363979.6956327108
CHN,VEH,1516065.944,100537.378,248060.83556038307
CHN,OTM,472315.952,67221.682,65298.660587947554
CHN,SRV,20795352.361,5513075.98,4784122.962562442
USA,AGF,1789030.6349999998,228954.09999999998,366332.7722482091
USA,MIN,191515.766,58813.784,65616.8014635582
USA,ENR,1595140.689,121874.009,460882.30304633087
USA,CHM,1301896.0,230569.605,419233.0454283797
USA,TXL,72323.331,21515.634,7113.284075040974
USA,WDP,464373.419,98202.57800000001,81123.64464249628
USA,NMM,1003810.926,215675.994,160207.5181175407
USA,MAC,446815.247,109805.846,73895.25136378153
USA,ELE,646395.262,229011.47,196052.00809750936
USA,VEH,1087528.712,162483.133,143600.77504276254
USA,OTM,309942.679,115185.253,57668.523666396475
USA,SRV,36390864.257,12190389.008,9169360.351162037
EU27,AGF,2014873.2459999993,227850.838,324158.8676066464
EU27,MIN,86376.31300000001,17969.003,29664.25806534936
EU27,ENR,629659.2999999999,18774.941,69883.53115983168
EU27,CHM,1587365.526,195237.02899999998,316238.12243708305
EU27,TXL,226876.13800000006,43550.706,24046.97276854059
EU27,WDP,497481.70700000005,73379.52,64483.82160585992
EU27,NMM,1450756.526,235029.44199999998,159788.0660280593
EU27,MAC,779490.6930000001,168781.612,88653.33044818949
EU27,ELE,733322.949,139478.277,60887.52651130501
EU27,VEH,1308444.9449999998,180997.657,138228.97796422208
EU27,OTM,527628.438,131155.71,72100.58848691694
EU27,SRV,23585801.770000003,6539414.439,5785536.1601803
JPN,AGF,363416.984,72364.439,61553.6050032644
JPN,MIN,8789.846,2508.7169999999996,1156.402802645799
JPN,ENR,162315.168,2546.127,19801.813370547206
JPN,CHM,377747.11199999996,44531.054000000004,72706.6972010913
JPN,TXL,28665.438,10541.453124943528,1.0
JPN,WDP,114001.891,22507.323,22325.7028354034
JPN,NMM,511939.30399999995,65851.891,87307.75293828221
JPN,MAC,305760.637,74948.857,55333.50567880816
JPN,ELE,313701.327,58200.894,66155.61780328775
JPN,VEH,424660.642,62866.702999999994,50151.358175091664
JPN,OTM,267177.505,80929.564,25884.072592683384
JPN,SRV,5217013.383,1707976.73,1367914.5191687834
KOR,AGF,187024.691,17070.119,29539.245815606446
KOR,MIN,3670.564,560.278,860.0583076300175
KOR,ENR,156437.633,2135.459,16151.546476565858
KOR,CHM,337239.603,34257.747,51438.90017221766
KOR,TXL,66294.57,8490.799,5370.257092204591
KOR,WDP,48368.411,7918.152,7171.204602474443
KOR,NMM,303282.03,33151.981999999996,45065.620647497904
KOR,MAC,149990.606,24421.993,17682.50541270596
KOR,ELE,460519.521,68398.747,94092.91974245713
KOR,VEH,261052.46800000002,27774.163,24897.32464437833
KOR,OTM,28733.736,5493.426,4545.1398545945585
KOR,SRV,2306959.333,621128.437,566051.586136869
IND,AGF,1055538.8730000001,98557.688,510126.4603617877
IND,MIN,78621.31,14028.735,29626.35695875369
IND,ENR,250079.083,9313.675,58611.392319258026
IND,CHM,335304.222,23154.126,38555.98474576253
