origin,sector,destination,value
CHN,SRV,CHN,0.0
CHN,SRV,USA,37040.619177
CHN,SRV,EU27,57941.27412399999
CHN,SRV,JPN,14619.800601
CHN,SRV,KOR,17592.486979
CHN,SRV,IND,6444.172405
CHN,SRV,CAN,3531.093857
CHN,SRV,MEX,2163.271156
CHN,SRV,BRA,952.233002
CHN,SRV,ZAF,1007.389038
CHN,SRV,RUS,3133.092534
CHN,SRV,SAU,3860.521741
CHN,SRV,AUS,4805.497837
CHN,SRV,ROW,178611.09555100006
USA,SRV,CHN,60620.961575
USA,SRV,USA,0.0
USA,SRV,EU27,357474.86548100004
USA,SRV,JPN,53445.092557
USA,SRV,KOR,26488.789066
USA,SRV,IND,36344.587086
USA,SRV,CAN,82425.702107
USA,SRV,MEX,35180.309123
USA,SRV,BRA,25729.936594
USA,SRV,ZAF,3444.221649
USA,SRV,RUS,3201.279657
USA,SRV,SAU,11524.927989
USA,SRV,AUS,22341.386859
USA,SRV,ROW,376648.19137000013
EU27,SRV,CHN,76087.74315600001
EU27,SRV,USA,252598.795757
EU27,SRV,EU27,0.0
EU27,SRV,JPN,39566.017291000004
EU27,SRV,KOR,23285.335969
EU27,SRV,IND,33597.393304000005
EU27,SRV,CAN,22404.578852
EU27,SRV,MEX,21706.579826
EU27,SRV,BRA,22535.901318999993
EU27,SRV,ZAF,9895.945347
EU27,SRV,RUS,25900.652326999993
EU27,SRV,SAU,18038.949263
EU27,SRV,AUS,22629.95553
EU27,SRV,ROW,718106.3662499998
JPN,SRV,CHN,19258.966354
JPN,SRV,USA,42582.100471
JPN,SRV,EU27,20438.867797999996
JPN,SRV,JPN,0.0
JPN,SRV,KOR,5159.338529
JPN,SRV,IND,3329.12385
JPN,SRV,CAN,1918.744353
JPN,SRV,MEX,1461.605087
JPN,SRV,BRA,738.658394
JPN,SRV,ZAF,304.923705
JPN,SRV,RUS,386.470213
JPN,SRV,SAU,1097.34561
JPN,SRV,AUS,1813.84962
JPN,SRV,ROW,68078.129834
KOR,SRV,CHN,17410.825358
KOR,SRV,USA,21024.621327
KOR,SRV,EU27,14974.570400999997
KOR,SRV,JPN,6596.382474
KOR,SRV,KOR,0.0
KOR,SRV,IND,3969.329628
KOR,SRV,CAN,1052.05094
KOR,SRV,MEX,552.878142
KOR,SRV,BRA,1090.412494
KOR,SRV,ZAF,340.40665
KOR,SRV,RUS,1081.498104
KOR,SRV,SAU,894.062252
KOR,SRV,AUS,2319.523019
KOR,SRV,ROW,34651.429185999994
IND,SRV,CHN,6369.282149
IND,SRV,USA,41941.640751
IND,SRV,EU27,41685.87667399999
IND,SRV,JPN,3443.011514
IND,SRV,KOR,4625.545052
IND,SRV,IND,0.0
IND,SRV,CAN,2997.465184
IND,SRV,MEX,764.650032
IND,SRV,BRA,3194.44143
IND,SRV,ZAF,1705.372512
IND,SRV,RUS,1236.689717
IND,SRV,SAU,4001.887025
IND,SRV,AUS,5016.410314
IND,SRV,ROW,87074.60692199999
CAN,SRV,CHN,4677.830996
CAN,SRV,USA,63128.307491
CAN,SRV,EU27,20715.641273
CAN,SRV,JPN,1402.211229
CAN,SRV,KOR,1415.847623
CAN,SRV,IND,5564.396924
CAN,SRV,CAN,0.0
CAN,SRV,MEX,1160.579504
CAN,SRV,BRA,665.830118
CAN,SRV,ZAF,197.905001
CAN,SRV,RUS,203.680971
CAN,SRV,SAU,356.067683
CAN,SRV,AUS,1332.979647
CAN,SRV,ROW,25902.28011800001
MEX,SRV,CHN,1094.765332
MEX,SRV,USA,50973.722458
MEX,SRV,EU27,11809.656076000001
MEX,SRV,JPN,238.445516
MEX,SRV,KOR,483.754848
MEX,SRV,IND,446.095526
MEX,SRV,CAN,2350.153792
MEX,SRV,MEX,0.0
MEX,SRV,BRA,276.635936
MEX,SRV,ZAF,37.755558
MEX,SRV,RUS,30.988163
MEX,SRV,SAU,207.119001
MEX,SRV,AUS,66.05022
MEX,SRV,ROW,10738.684922
BRA,SRV,CHN,1575.753402
BRA,SRV,USA,8143.266874
BRA,SRV,EU27,8273.76067
BRA,SRV,JPN,450.558478
BRA,SRV,KOR,418.057123
BRA,SRV,IND,1473.50769
BRA,SRV,CAN,408.083557
BRA,SRV,MEX,193.389171
BRA,SRV,BRA,0.0
BRA,SRV,ZAF,319.379254
BRA,SRV,RUS,331.821893
BRA,SRV,SAU,702.681192
BRA,SRV,AUS,193.060454
BRA,SRV,ROW,16702.68497800001
ZAF,SRV,CHN,947.333164
ZAF,SRV,USA,1780.183635
ZAF,SRV,EU27,4337.12378
ZAF,SRV,JPN,237.862792
ZAF,SRV,KOR,432.476971
ZAF,SRV,IND,953.445669
ZAF,SRV,CAN,186.79075
ZAF,SRV,MEX,24.521749
ZAF,SRV,BRA,258.864677
ZAF,SRV,ZAF,0.0
ZAF,SRV,RUS,90.324535
ZAF,SRV,SAU,195.274381
ZAF,SRV,AUS,274.456058
ZAF,SRV,ROW,5099.106723000003
RUS,SRV,CHN,4804.85922
RUS,SRV,USA,2316.456991
RUS,SRV,EU27,13359.324343
RUS,SRV,JPN,501.334836
RUS,SRV,KOR,893.093618
RUS,SRV,IND,1770.952037
RUS,SRV,CAN,351.540974
RUS,SRV,MEX,14.561766
RUS,SRV,BRA,376.58335
RUS,SRV,ZAF,45.563925
RUS,SRV,RUS,0.0
RUS,SRV,SAU,354.889603
RUS,SRV,AUS,45.956117
RUS,SRV,ROW,19712.876101
SAU,SRV,CHN,1719.831008
SAU,SRV,USA,2616.999822
SAU,SRV,EU27,5254.875544
SAU,SRV,JPN,455.667961
SAU,SRV,KOR,375.194216
SAU,SRV,IND,853.950731
SAU,SRV,CAN,508.299184
SAU,SRV,MEX,96.722488
SAU,SRV,BRA,388.606596
SAU,SRV,ZAF,107.802692
SAU,SRV,RUS,203.64003
SAU,SRV,SAU,0.0
SAU,SRV,AUS,430.225019
SAU,SRV,ROW,12268.202660000003
AUS,SRV,CHN,8585.581812
AUS,SRV,USA,9244.635735
AUS,SRV,EU27,7545.702143000002
AUS,SRV,JPN,1345.667845
AUS,SRV,KOR,2541.662054
AUS,SRV,IND,4775.031369
AUS,SRV,CAN,791.356968
AUS,SRV,MEX,105.527333
AUS,SRV,BRA,465.408643
AUS,SRV,ZAF,295.344861
AUS,SRV,RUS,51.534048
AUS,SRV,SAU,762.049175
AUS,SRV,AUS,0.0
AUS,SRV,ROW,27398.656076
ROW,SRV,CHN,170319.61261099993
ROW,SRV,USA,378280.81277099997
ROW,SRV,EU27,592519.7354639983
ROW,SRV,JPN,82794.17959499998
ROW,SRV,KOR,36118.15064999998
ROW,SRV,IND,67748.54591200002
ROW,SRV,CAN,32682.311423000006
ROW,SRV,MEX,8505.785813999988
ROW,SRV,BRA,20675.277661
ROW,SRV,ZAF,8231.316976999999
ROW,SRV,RUS,27476.952091
ROW,SRV,SAU,33800.645491999996
ROW,SRV,AUS,50509.62699799999
ROW,SRV,ROW,1986903.0526260012
