region,model_T0_mUSD,g1151_mUSD,factor
CHN,123532.1552017956,43242.40802142375,0.35004981456678413
USA,34119.22256941697,102332.7,2.9992682216542272
EU27,85240.1721205113,35100.0,0.4117776762625038
JPN,12288.228096799192,7668.549506456699,0.6240565723592146
KOR,42266.96467772818,7596.141667142513,0.17971817292915673
IND,56473.35309262084,17129.903012072344,0.30332718129872555
CAN,10398.576129998386,4653.665076211204,0.44752906725239566
MEX,23021.864522074113,4764.725051931824,0.20696521115234826
BRA,18760.802618449394,11421.703813200518,0.6088067789790829
ZAF,4026.555655708524,4469.3965410844285,1.109980073104933
RUS,9825.665216763115,10294.890859827698,1.047755101839218
SAU,9017.884644798993,4999.790493341334,0.5544305222649893
AUS,3057.332323180352,11753.775224619583,3.844454570902801
ROW,458343.8682358128,121940.46690048365,0.2611754251764839
