origin,sector,destination,value
CHN,prim,CHN,3966640.002
CHN,prim,USA,2008.2544879530162
CHN,prim,ROW,34726.59451204698
CHN,manu,CHN,17551815.413000003
CHN,manu,USA,459654.80490182375
CHN,manu,ROW,2284722.465098176
CHN,serv,CHN,20237826.339
CHN,serv,USA,90411.16597179636
CHN,serv,ROW,467114.8560282035
USA,prim,CHN,25928.419231476368
USA,prim,USA,1294159.132
USA,prim,ROW,249359.46176852362
USA,manu,CHN,67105.61226531045
USA,manu,USA,6320502.718
USA,manu,ROW,951717.3227346895
USA,serv,CHN,101089.94571087636
USA,serv,USA,35035816.258999996
USA,serv,ROW,1253958.0522891239
ROW,prim,CHN,736568.9957685237
ROW,prim,USA,271382.297512047
ROW,prim,ROW,6162120.267719432
ROW,manu,CHN,1234598.1757346895
ROW,manu,USA,1767396.0220981762
ROW,manu,ROW,25731721.362167142
ROW,serv,CHN,652445.1602891237
ROW,serv,USA,1078227.0920282037
ROW,serv,ROW,64389667.21468269
