input,region,output,value
prim,CHN,prim,0.23702666989835047
manu,CHN,prim,0.14559164141074238
serv,CHN,prim,0.14085189208971385
prim,CHN,manu,0.11947956489258868
manu,CHN,manu,0.48524257907980756
serv,CHN,manu,0.15640132190347159
prim,CHN,serv,0.03805746731781816
manu,CHN,serv,0.20752952224280413
serv,CHN,serv,0.26089922171449115
prim,USA,prim,0.09450178719687867
manu,USA,prim,0.11662392556507015
serv,USA,prim,0.29007317189145676
prim,USA,manu,0.11029016003494213
manu,USA,manu,0.2501885545015739
serv,USA,manu,0.24862983090151547
prim,USA,serv,0.007576285270851213
manu,USA,serv,0.054658014400916215
serv,USA,serv,0.35027031154763155
prim,ROW,prim,0.1257967567586968
manu,ROW,prim,0.1067370731238185
serv,ROW,prim,0.1411998747458272
prim,ROW,manu,0.09724267400934737
manu,ROW,manu,0.3742174033707659
serv,ROW,manu,0.2384260592020488
prim,ROW,serv,0.01469827267101947
manu,ROW,serv,0.09467588424776485
serv,ROW,serv,0.3372550998863856
